domain,impact_type,insight_count,avg_magnitude,avg_ai_similarity,common_verbs
economic,positive,64,804.6766667,0.474901846,"increase, create, enhance"
economic,neutral,295,201753254,0.470177562,"create, reduce, increase"
economic,negative,17,525.6,0.434346902,"create, decrease, increase"
employment,neutral,208,2386540.69,0.481637658,"create, reduce, displace"
employment,positive,36,925.9636364,0.483973891,"create, increase, improve"
employment,negative,14,0,0.453246794,"reduce, displace, increase"
general,positive,46,718.5294118,0.501741285,"improve, enhance, automate"
general,neutral,113,1418.595556,0.482449242,"automate, increase, improve"
general,negative,10,2169,0.480913875,"automate, increase"
productivity,neutral,37,1033.25,0.469353282,"increase, enhance, automate"
productivity,positive,22,1223.4,0.497856387,"increase, create, improve"
productivity,negative,2,2018,0.447631598,"increase, decline"
skills_wages,positive,9,9405.75,0.487670471,"improve, automate"
skills_wages,neutral,85,1989595230,0.466268911,"increase, reduce, automate"
skills_wages,negative,13,0,0.472500579,"increase, decline, automate"
policy,positive,1,0,0.474611968,enhance
policy,neutral,5,0,0.470484829,"automate, increase"
healthcare,positive,58,1250.44,0.498123,"diagnose, detect, improve"
healthcare,neutral,132,1854300,0.479882,"monitor, assist, process"
healthcare,negative,11,934.5,0.452117,"misdiagnose, delay, impact"
cybersecurity,positive,44,1045.8,0.487221,"detect, prevent, secure"
cybersecurity,neutral,159,2425000,0.472334,"monitor, analyze, flag"
cybersecurity,negative,18,678.22,0.438912,"breach, exploit, bypass"
governance,neutral,201,3954000,0.476551,"regulate, oversee, guide"
governance,positive,37,998.77,0.496203,"streamline, support, enforce"
governance,negative,15,1250.6,0.443008,"restrict, limit, penalize"
education,positive,61,1120.33,0.503122,"personalize, assist, adapt"
education,neutral,140,1689000,0.48411,"teach, recommend, analyze"
education,negative,9,1543,0.456992,"reduce, misguide, affect"
