timeframe,insight_count,dominant_domain,dominant_impact,avg_magnitude
by 2025,15,economic,neutral,5.6
last 10 years,14,general,neutral,10
by 2030,11,economic,neutral,4.2
by 2022,9,economic,neutral,2
within 10 years,5,general,negative,10
Next 5 Years,3,general,neutral,8.1
by 2020,3,economic,positive,4.7
by 2028,2,economic,neutral,6.9
next 10 years,2,general,neutral,0
by 2035,17,healthcare,positive,7.8
by 2040,21,governance,neutral,6.1
last 5 years,13,cybersecurity,negative,5.4
next 5 years,18,employment,negative,8.2
by 2050,20,employment,positive,7.2
post-COVID era,14,economic,neutral,5.9
last 3 years,11,employment,negative,6.7
next decade,22,general,positive,7.5
long-term future,19,productivity,positive,8.9
since 2010,12,general,neutral,4.8
